score,job_title,company,location,visa_status,posted,apply_link,rejection_reason
0,Data Scientist - Onsite - Must Reside in DC/MD/VA,SYSTEMS Plus,United States,Not Evaluated,23 hours ago,https://www.tryapplynow.com/jobs/systems-plus-data-scientist-onsite-must-reside-in-dc-md-va-08c3d148-d2ce-483d-869d-abdd571f4973?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Clearance required
0,AI Data Engineer - Consultant,Deloitte,"McLean, VA",Not Evaluated,23 hours ago,https://jobsus.deloitte.com/mclean-va/ai-data-engineer-consultant/8B8474690E384D538B0E3398D0DA2305/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'india'
0,AI Engineer Systems Architect - Level 5 or 6 Jobs,Northrop Grumman,"Fore Store, VA",Not Evaluated,9 hours ago,https://www.clearancejobs.com/jobs/8814256/ai-engineer-systems-architect-level-5-or-6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\bat\s+least\s+([3-9]|\d{2,})\s*years?\b'"
0,AI Data Engineer - Consultant,Deloitte,"Washington, DC",Not Evaluated,23 hours ago,https://jobsus.deloitte.com/washington-dc/ai-data-engineer-consultant/21B8AD5D13374842AE8B402AA4E9BA8F/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'india'
0,AI Data Engineer - Consultant,Deloitte,"Minneapolis, MN",Not Evaluated,23 hours ago,https://jobsus.deloitte.com/minneapolis-mn/ai-data-engineer-consultant/9B064D7175DE45A5BF4B2A5A85A0C580/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'india'
0,Data & AI Engineer,Truity Credit Union,"Kansas City, KS",Not Evaluated,23 hours ago,https://www.theladders.com/job/data-ai-engineer-truity-credit-union-kansas-city-ks_86180256?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,AI Full-Stack Engineer for Prototyping,Mercor,"San Francisco, CA",Not Evaluated,17 hours ago,"https://www.ziprecruiter.com/c/Mercor/Job/AI-Full-Stack-Engineer-for-Prototyping/-in-San-Francisco,CA?jid=df74a5479bbd90a7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,"Senior Data Engineer (PostgreSQL, Python, Azure)",Career Developers,"Reston, VA",Not Evaluated,21 hours ago,https://www.simplyhired.com/job/8etSaLamVVXkWTAJUKruUtB6v71Ji_8Ro-NH_Cg6Fo5qgxQomAz7fg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Senior title: 'senior data engineer (postgresql, python, azure)'"
0,Backend AI-Forward Data Engineer,Greystar,"Fort Worth, TX",Not Evaluated,21 hours ago,https://www.linkedin.com/jobs/view/backend-ai-forward-data-engineer-at-greystar-4386153027?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'emea'
0,Senior/Lead Software Data Engineer (Roads Team),Mapbox,"Poland, OH",Not Evaluated,17 hours ago,https://jobs.foundry.vc/companies/mapbox/jobs/71572938-senior-lead-software-data-engineer-roads-team?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'poland'
0,Senior Data Engineer - Consulting Role,EY,"Las Vegas, NV",Not Evaluated,14 hours ago,https://jobs.stevenagefc.com/jobs/senior-data-engineer-consulting-role-las-vegas-nevada/2678997212-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior data engineer - consulting role'
0,Data Engineer - Spark Developer - Full-time,EUROPEAN DYNAMICS,"Sharpsburg, OH",Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1066913475?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'london'
0,"Data Engineer, Product Analytics - Full-time",Meta,"Menlo Park, CA",Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1067198983?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
